"107年01月02日 個股日本益比、殖利率及股價淨值比"
"證券代號","證券名稱","殖利率(%)","股利年度","本益比","股價淨值比","財報年/季",
"2832","台產","4.36","105","9.10","0.89","106/3",
"2834","臺企銀","4.76","105","8.75","0.68","106/3",
"2836","高雄銀","6.51","105","13.54","0.65","106/3",
"2838","聯邦銀","4.85","105","9.18","0.65","106/3",
"2845","遠東銀","6.77","105","9.41","0.72","106/3",
"2849","安泰銀","4.55","105","11.19","0.71","106/3",
"2850","新產","5.25","105","8.03","0.98","106/3",
"2851","中再保","2.84","105","7.07","0.91","106/3",
"2852","第一保","4.47","105","8.04","0.78","106/3",
"2855","統一證","2.80","105","13.08","0.82","106/3",
"2856","元富證","1.15","105","45.79","0.64","106/3",
"2867","三商壽","5.34","105","10.12","0.79","106/3",
"2880","華南金","7.10","105","13.97","1.15","106/3",
"2881","富邦金","3.88","105","10.66","1.18","106/3",
"2882","國泰金","3.62","105","13.02","1.27","106/3",
"2883","開發金","4.95","105","14.03","0.90","106/3",
"2884","玉山金","6.36","105","14.12","1.35","106/3",
"2885","元大金","3.23","105","10.57","0.79","106/3",
"2886","兆豐金","5.80","105","12.37","1.12","106/3",
"2887","台新金","6.74","105","12.70","1.00","106/3",
"2888","新光金","1.90","105","7.76","0.77","106/3",
"2889","國票金","7.28","105","13.17","0.82","106/3",
"2890","永豐金","7.08","105","13.18","0.79","106/3",
"2891","中信金","4.84","105","11.28","1.37","106/3",
"2892","第一金","7.16","105","12.69","1.25","106/3",
"2897","王道銀行","5.05","105","17.13","0.73","106/3",
"5880","合庫金","6.27","105","13.73","1.03","106/3",
"6005","群益證","3.27","105","11.53","0.80","106/3",
"6024","群益期","4.84","105","10.63","1.63","106/3",
""
"說明： 

本網頁資料僅供研究參考用途，任何資料均不應視為對買賣證券之投資建議。


本網頁資料推計基礎如下：
1. 本益比 = 收盤價／每股參考稅後純益，其中每股參考稅後純益 = 該公司稅後參考純益／發行參考股數，當每股參考稅後純益為0或負數時，則不計算本益比。以上純益資料採用各上市公司於公開資訊觀測站過去已申報格式化之近滿4季財務報告為計算基礎。依據一般公認會計準則，若新設公司非於1月1日設立，該公司申報全年度合併財務報表採用自設立日起編製，未追溯自年初編製，當遇有上開公司在計算其「本益比」時，仍採用該公司申報資料計算。例如合庫金控(5880)於100年12月1日設立，在上市初期該公司「本益比」所採計之最近四季稅後純益為自成立以來迄至100年底之稅後純益計算，特此說明。 
2. 殖利率 = 每股股利／收盤價*100%，其中每股股利採用該公司近期每股配發之盈餘分配之現金股利(元/股) + 法定盈餘公積、資本公積發放之現金 (元/股) + 盈餘轉增資股票股利(元/股)為計算基礎。 
3. 股價淨值比 = 收盤價／每股參考淨值，其中每股參考淨值採用公開資訊觀測站公告之最近一季每股參考淨值，於102年5月中旬之前採用該公司最近一季淨值除以除權變動之採樣股數為推計基礎。
4. 股利年度：計算殖利率，所採用上市公司於公開資訊觀測站公告之股利分派年度。(如股利年度為105，表示該公司以105年之盈餘分派股利)
5. 財報年／季：計算本益比及股價淨值比，所參考上市公司於公開資訊觀測站申報之財務報告年度季別。
6. 本網頁所採用發行參考股數是以公開資訊觀測站公告最近一季財務報表之淨值及每股參考淨值為推計基礎，於102年5月中旬之前採用除權變動之採樣股數為推計基礎。上市公司於公開資訊觀測站未申報格式化之財務報告或未齊全者，不計算本益比及股價淨值比或以其申報及相關資料推計。以上本網頁所採用之財務及股利相關資料為計算當時公開資訊觀測站已公告申報格式化之資料，而非同期即時資訊，且不作回溯計算，謹此說明。當日若無收盤價則以本公司營業細則第58-3條第2項第2款之原則所決定價格替代。
7. 股利年度及財報年/季資訊自民國106年4月12日起提供。"

"107年01月04日 個股日本益比、殖利率及股價淨值比"
"證券代號","證券名稱","殖利率(%)","股利年度","本益比","股價淨值比","財報年/季",
"2801","彰銀","5.53","105","12.91","1.10","106/3",
"2809","京城銀","3.90","105","8.04","1.21","106/3",
"2812","台中銀","7.16","105","9.14","0.78","106/3",
"2816","旺旺保","0.00","105","7.51","1.04","106/3",
"2820","華票","5.42","105","15.66","0.92","106/3",
"2823","中壽","5.61","105","14.36","1.33","106/3",
"2832","台產","4.35","105","9.12","0.89","106/3",
"2834","臺企銀","4.76","105","8.76","0.68","106/3",
"2836","高雄銀","6.47","105","13.63","0.66","106/3",
"2838","聯邦銀","4.85","105","9.19","0.65","106/3",
"2845","遠東銀","6.76","105","9.43","0.72","106/3",
"2849","安泰銀","4.53","105","11.23","0.71","106/3",
"2850","新產","5.22","105","8.09","0.99","106/3",
"2851","中再保","2.86","105","7.03","0.90","106/3",
"2852","第一保","4.45","105","8.07","0.78","106/3",
"2855","統一證","2.79","105","13.13","0.83","106/3",
"2856","元富證","1.15","105","45.79","0.64","106/3",
"2867","三商壽","5.34","105","10.12","0.79","106/3",
"2880","華南金","7.08","105","14.01","1.15","106/3",
"2881","富邦金","3.85","105","10.75","1.19","106/3",
"2882","國泰金","3.61","105","13.07","1.27","106/3",
"2883","開發金","4.95","105","14.03","0.90","106/3",
"2884","玉山金","6.37","105","14.09","1.35","106/3",
"2885","元大金","3.25","105","10.49","0.79","106/3",
"2886","兆豐金","5.77","105","12.42","1.13","106/3",
"2887","台新金","6.76","105","12.66","0.99","106/3",
"2888","新光金","1.89","105","7.79","0.78","106/3",
"2889","國票金","7.26","105","13.19","0.83","106/3",
"2890","永豐金","7.09","105","13.15","0.79","106/3",
"2891","中信金","4.84","105","11.28","1.37","106/3",
"2892","第一金","7.14","105","12.73","1.25","106/3",
"2897","王道銀行","5.05","105","17.13","0.73","106/3",
"5880","合庫金","6.25","105","13.77","1.03","106/3",
"6005","群益證","3.30","105","11.43","0.79","106/3",
"6024","群益期","4.84","105","10.63","1.63","106/3",
""
"說明： 

本網頁資料僅供研究參考用途，任何資料均不應視為對買賣證券之投資建議。


本網頁資料推計基礎如下：
1. 本益比 = 收盤價／每股參考稅後純益，其中每股參考稅後純益 = 該公司稅後參考純益／發行參考股數，當每股參考稅後純益為0或負數時，則不計算本益比。以上純益資料採用各上市公司於公開資訊觀測站過去已申報格式化之近滿4季財務報告為計算基礎。依據一般公認會計準則，若新設公司非於1月1日設立，該公司申報全年度合併財務報表採用自設立日起編製，未追溯自年初編製，當遇有上開公司在計算其「本益比」時，仍採用該公司申報資料計算。例如合庫金控(5880)於100年12月1日設立，在上市初期該公司「本益比」所採計之最近四季稅後純益為自成立以來迄至100年底之稅後純益計算，特此說明。 
2. 殖利率 = 每股股利／收盤價*100%，其中每股股利採用該公司近期每股配發之盈餘分配之現金股利(元/股) + 法定盈餘公積、資本公積發放之現金 (元/股) + 盈餘轉增資股票股利(元/股)為計算基礎。 
3. 股價淨值比 = 收盤價／每股參考淨值，其中每股參考淨值採用公開資訊觀測站公告之最近一季每股參考淨值，於102年5月中旬之前採用該公司最近一季淨值除以除權變動之採樣股數為推計基礎。
4. 股利年度：計算殖利率，所採用上市公司於公開資訊觀測站公告之股利分派年度。(如股利年度為105，表示該公司以105年之盈餘分派股利)
5. 財報年／季：計算本益比及股價淨值比，所參考上市公司於公開資訊觀測站申報之財務報告年度季別。
6. 本網頁所採用發行參考股數是以公開資訊觀測站公告最近一季財務報表之淨值及每股參考淨值為推計基礎，於102年5月中旬之前採用除權變動之採樣股數為推計基礎。上市公司於公開資訊觀測站未申報格式化之財務報告或未齊全者，不計算本益比及股價淨值比或以其申報及相關資料推計。以上本網頁所採用之財務及股利相關資料為計算當時公開資訊觀測站已公告申報格式化之資料，而非同期即時資訊，且不作回溯計算，謹此說明。當日若無收盤價則以本公司營業細則第58-3條第2項第2款之原則所決定價格替代。
7. 股利年度及財報年/季資訊自民國106年4月12日起提供。"

"107年01月05日 個股日本益比、殖利率及股價淨值比"
"證券代號","證券名稱","殖利率(%)","股利年度","本益比","股價淨值比","財報年/季",
"2801","彰銀","5.48","105","13.02","1.11","106/3",
"2809","京城銀","3.74","105","8.38","1.26","106/3",
"2812","台中銀","7.16","105","9.14","0.78","106/3",
"2816","旺旺保","0.00","105","7.79","1.08","106/3",
"2820","華票","5.40","105","15.71","0.92","106/3",
"2823","中壽","5.61","105","14.36","1.33","106/3",
"2832","台產","4.31","105","9.21","0.90","106/3",
"2834","臺企銀","4.74","105","8.79","0.69","106/3",
"2836","高雄銀","6.44","105","13.69","0.66","106/3",
"2838","聯邦銀","4.84","105","9.21","0.65","106/3",
"2845","遠東銀","6.73","105","9.47","0.73","106/3",
"2849","安泰銀","4.51","105","11.27","0.71","106/3",
"2850","新產","5.21","105","8.10","0.99","106/3",
"2851","中再保","2.82","105","7.13","0.92","106/3",
"2852","第一保","4.45","105","8.07","0.78","106/3",
"2855","統一證","2.79","105","13.13","0.83","106/3",
"2856","元富證","1.15","105","45.79","0.64","106/3",
"2867","三商壽","5.32","105","10.16","0.79","106/3",
"2880","華南金","7.00","105","14.17","1.17","106/3",
"2881","富邦金","3.83","105","10.81","1.20","106/3",
"2882","國泰金","3.59","105","13.14","1.28","106/3",
"2883","開發金","4.90","105","14.17","0.91","106/3",
"2884","玉山金","6.36","105","14.12","1.35","106/3",
"2885","元大金","3.23","105","10.57","0.79","106/3",
"2886","兆豐金","5.70","105","12.58","1.14","106/3",
"2887","台新金","6.69","105","12.79","1.00","106/3",
"2888","新光金","1.89","105","7.79","0.78","106/3",
"2889","國票金","7.27","105","13.18","0.83","106/3",
"2890","永豐金","7.04","105","13.24","0.79","106/3",
"2891","中信金","4.78","105","11.42","1.39","106/3",
"2892","第一金","7.11","105","12.79","1.25","106/3",
"2897","王道銀行","5.04","105","17.15","0.73","106/3",
"5880","合庫金","6.21","105","13.85","1.04","106/3",
"6005","群益證","3.26","105","11.58","0.80","106/3",
"6024","群益期","4.82","105","10.66","1.64","106/3",
""
"說明： 

本網頁資料僅供研究參考用途，任何資料均不應視為對買賣證券之投資建議。


本網頁資料推計基礎如下：
1. 本益比 = 收盤價／每股參考稅後純益，其中每股參考稅後純益 = 該公司稅後參考純益／發行參考股數，當每股參考稅後純益為0或負數時，則不計算本益比。以上純益資料採用各上市公司於公開資訊觀測站過去已申報格式化之近滿4季財務報告為計算基礎。依據一般公認會計準則，若新設公司非於1月1日設立，該公司申報全年度合併財務報表採用自設立日起編製，未追溯自年初編製，當遇有上開公司在計算其「本益比」時，仍採用該公司申報資料計算。例如合庫金控(5880)於100年12月1日設立，在上市初期該公司「本益比」所採計之最近四季稅後純益為自成立以來迄至100年底之稅後純益計算，特此說明。 
2. 殖利率 = 每股股利／收盤價*100%，其中每股股利採用該公司近期每股配發之盈餘分配之現金股利(元/股) + 法定盈餘公積、資本公積發放之現金 (元/股) + 盈餘轉增資股票股利(元/股)為計算基礎。 
3. 股價淨值比 = 收盤價／每股參考淨值，其中每股參考淨值採用公開資訊觀測站公告之最近一季每股參考淨值，於102年5月中旬之前採用該公司最近一季淨值除以除權變動之採樣股數為推計基礎。
4. 股利年度：計算殖利率，所採用上市公司於公開資訊觀測站公告之股利分派年度。(如股利年度為105，表示該公司以105年之盈餘分派股利)
5. 財報年／季：計算本益比及股價淨值比，所參考上市公司於公開資訊觀測站申報之財務報告年度季別。
6. 本網頁所採用發行參考股數是以公開資訊觀測站公告最近一季財務報表之淨值及每股參考淨值為推計基礎，於102年5月中旬之前採用除權變動之採樣股數為推計基礎。上市公司於公開資訊觀測站未申報格式化之財務報告或未齊全者，不計算本益比及股價淨值比或以其申報及相關資料推計。以上本網頁所採用之財務及股利相關資料為計算當時公開資訊觀測站已公告申報格式化之資料，而非同期即時資訊，且不作回溯計算，謹此說明。當日若無收盤價則以本公司營業細則第58-3條第2項第2款之原則所決定價格替代。
7. 股利年度及財報年/季資訊自民國106年4月12日起提供。"

"107年01月08日 個股日本益比、殖利率及股價淨值比"
"證券代號","證券名稱","殖利率(%)","股利年度","本益比","股價淨值比","財報年/季",
"2801","彰銀","5.41","105","13.18","1.12","106/3",
"2809","京城銀","3.69","105","8.49","1.27","106/3",
"2812","台中銀","7.13","105","9.18","0.79","106/3",
"2816","旺旺保","0.00","105","8.00","1.10","106/3",
"2820","華票","5.33","105","15.91","0.93","106/3",
"2823","中壽","5.60","105","14.38","1.33","106/3",
"2832","台產","4.29","105","9.25","0.90","106/3",
"2834","臺企銀","4.71","105","8.85","0.69","106/3",
"2836","高雄銀","6.40","105","13.79","0.66","106/3",
"2838","聯邦銀","4.80","105","9.29","0.66","106/3",
"2845","遠東銀","6.70","105","9.51","0.73","106/3",
"2849","安泰銀","4.51","105","11.27","0.71","106/3",
"2850","新產","5.20","105","8.11","0.99","106/3",
"2851","中再保","2.79","105","7.21","0.93","106/3",
"2852","第一保","4.45","105","8.07","0.78","106/3",
"2855","統一證","2.75","105","13.30","0.84","106/3",
"2856","元富證","1.14","105","46.05","0.64","106/3",
"2867","三商壽","5.32","105","10.16","0.79","106/3",
"2880","華南金","6.94","105","14.30","1.18","106/3",
"2881","富邦金","3.81","105","10.87","1.21","106/3",
"2882","國泰金","3.59","105","13.14","1.28","106/3",
"2883","開發金","4.83","105","14.38","0.92","106/3",
"2884","玉山金","6.28","105","14.31","1.37","106/3",
"2885","元大金","3.20","105","10.64","0.80","106/3",
"2886","兆豐金","5.65","105","12.70","1.15","106/3",
"2887","台新金","6.60","105","12.97","1.02","106/3",
"2888","新光金","1.86","105","7.90","0.79","106/3",
"2889","國票金","7.26","105","13.21","0.83","106/3",
"2890","永豐金","6.90","105","13.51","0.81","106/3",
"2891","中信金","4.65","105","11.75","1.42","106/3",
"2892","第一金","7.05","105","12.89","1.26","106/3",
"2897","王道銀行","5.02","105","17.23","0.74","106/3",
"5880","合庫金","6.07","105","14.18","1.06","106/3",
"6005","群益證","3.22","105","11.73","0.81","106/3",
"6024","群益期","4.85","105","10.60","1.63","106/3",
""
"說明： 

本網頁資料僅供研究參考用途，任何資料均不應視為對買賣證券之投資建議。


本網頁資料推計基礎如下：
1. 本益比 = 收盤價／每股參考稅後純益，其中每股參考稅後純益 = 該公司稅後參考純益／發行參考股數，當每股參考稅後純益為0或負數時，則不計算本益比。以上純益資料採用各上市公司於公開資訊觀測站過去已申報格式化之近滿4季財務報告為計算基礎。依據一般公認會計準則，若新設公司非於1月1日設立，該公司申報全年度合併財務報表採用自設立日起編製，未追溯自年初編製，當遇有上開公司在計算其「本益比」時，仍採用該公司申報資料計算。例如合庫金控(5880)於100年12月1日設立，在上市初期該公司「本益比」所採計之最近四季稅後純益為自成立以來迄至100年底之稅後純益計算，特此說明。 
2. 殖利率 = 每股股利／收盤價*100%，其中每股股利採用該公司近期每股配發之盈餘分配之現金股利(元/股) + 法定盈餘公積、資本公積發放之現金 (元/股) + 盈餘轉增資股票股利(元/股)為計算基礎。 
3. 股價淨值比 = 收盤價／每股參考淨值，其中每股參考淨值採用公開資訊觀測站公告之最近一季每股參考淨值，於102年5月中旬之前採用該公司最近一季淨值除以除權變動之採樣股數為推計基礎。
4. 股利年度：計算殖利率，所採用上市公司於公開資訊觀測站公告之股利分派年度。(如股利年度為105，表示該公司以105年之盈餘分派股利)
5. 財報年／季：計算本益比及股價淨值比，所參考上市公司於公開資訊觀測站申報之財務報告年度季別。
6. 本網頁所採用發行參考股數是以公開資訊觀測站公告最近一季財務報表之淨值及每股參考淨值為推計基礎，於102年5月中旬之前採用除權變動之採樣股數為推計基礎。上市公司於公開資訊觀測站未申報格式化之財務報告或未齊全者，不計算本益比及股價淨值比或以其申報及相關資料推計。以上本網頁所採用之財務及股利相關資料為計算當時公開資訊觀測站已公告申報格式化之資料，而非同期即時資訊，且不作回溯計算，謹此說明。當日若無收盤價則以本公司營業細則第58-3條第2項第2款之原則所決定價格替代。
7. 股利年度及財報年/季資訊自民國106年4月12日起提供。"

"107年01月09日 個股日本益比、殖利率及股價淨值比"
"證券代號","證券名稱","殖利率(%)","股利年度","本益比","股價淨值比","財報年/季",
"2801","彰銀","5.41","105","13.18","1.12","106/3",
"2809","京城銀","3.71","105","8.43","1.26","106/3",
"2812","台中銀","7.13","105","9.18","0.79","106/3",
"2816","旺旺保","0.00","105","7.83","1.08","106/3",
"2820","華票","5.28","105","16.06","0.94","106/3",
"2823","中壽","5.62","105","14.34","1.33","106/3",
"2832","台產","4.32","105","9.19","0.90","106/3",
"2834","臺企銀","4.71","105","8.84","0.69","106/3",
"2836","高雄銀","6.39","105","13.81","0.66","106/3",
"2838","聯邦銀","4.81","105","9.27","0.66","106/3",
"2845","遠東銀","6.71","105","9.50","0.73","106/3",
"2849","安泰銀","4.53","105","11.23","0.71","106/3",
"2850","新產","5.21","105","8.10","0.99","106/3",
"2851","中再保","2.81","105","7.15","0.92","106/3",
"2852","第一保","4.45","105","8.07","0.78","106/3",
"2855","統一證","2.73","105","13.39","0.84","106/3",
"2856","元富證","1.14","105","46.00","0.64","106/3",
"2867","三商壽","5.32","105","10.16","0.79","106/3",
"2880","華南金","6.94","105","14.30","1.18","106/3",
"2881","富邦金","3.81","105","10.87","1.21","106/3",
"2882","國泰金","3.58","105","13.16","1.28","106/3",
"2883","開發金","4.81","105","14.44","0.93","106/3",
"2884","玉山金","6.28","105","14.31","1.37","106/3",
"2885","元大金","3.23","105","10.57","0.79","106/3",
"2886","兆豐金","5.68","105","12.63","1.15","106/3",
"2887","台新金","6.55","105","13.06","1.02","106/3",
"2888","新光金","1.85","105","7.94","0.79","106/3",
"2889","國票金","7.26","105","13.19","0.83","106/3",
"2890","永豐金","6.92","105","13.47","0.81","106/3",
"2891","中信金","4.67","105","11.69","1.42","106/3",
"2892","第一金","7.05","105","12.89","1.26","106/3",
"2897","王道銀行","5.01","105","17.27","0.74","106/3",
"5880","合庫金","6.05","105","14.22","1.06","106/3",
"6005","群益證","3.22","105","11.73","0.81","106/3",
"6024","群益期","4.84","105","10.63","1.63","106/3",
""
"說明： 

本網頁資料僅供研究參考用途，任何資料均不應視為對買賣證券之投資建議。


本網頁資料推計基礎如下：
1. 本益比 = 收盤價／每股參考稅後純益，其中每股參考稅後純益 = 該公司稅後參考純益／發行參考股數，當每股參考稅後純益為0或負數時，則不計算本益比。以上純益資料採用各上市公司於公開資訊觀測站過去已申報格式化之近滿4季財務報告為計算基礎。依據一般公認會計準則，若新設公司非於1月1日設立，該公司申報全年度合併財務報表採用自設立日起編製，未追溯自年初編製，當遇有上開公司在計算其「本益比」時，仍採用該公司申報資料計算。例如合庫金控(5880)於100年12月1日設立，在上市初期該公司「本益比」所採計之最近四季稅後純益為自成立以來迄至100年底之稅後純益計算，特此說明。 
2. 殖利率 = 每股股利／收盤價*100%，其中每股股利採用該公司近期每股配發之盈餘分配之現金股利(元/股) + 法定盈餘公積、資本公積發放之現金 (元/股) + 盈餘轉增資股票股利(元/股)為計算基礎。 
3. 股價淨值比 = 收盤價／每股參考淨值，其中每股參考淨值採用公開資訊觀測站公告之最近一季每股參考淨值，於102年5月中旬之前採用該公司最近一季淨值除以除權變動之採樣股數為推計基礎。
4. 股利年度：計算殖利率，所採用上市公司於公開資訊觀測站公告之股利分派年度。(如股利年度為105，表示該公司以105年之盈餘分派股利)
5. 財報年／季：計算本益比及股價淨值比，所參考上市公司於公開資訊觀測站申報之財務報告年度季別。
6. 本網頁所採用發行參考股數是以公開資訊觀測站公告最近一季財務報表之淨值及每股參考淨值為推計基礎，於102年5月中旬之前採用除權變動之採樣股數為推計基礎。上市公司於公開資訊觀測站未申報格式化之財務報告或未齊全者，不計算本益比及股價淨值比或以其申報及相關資料推計。以上本網頁所採用之財務及股利相關資料為計算當時公開資訊觀測站已公告申報格式化之資料，而非同期即時資訊，且不作回溯計算，謹此說明。當日若無收盤價則以本公司營業細則第58-3條第2項第2款之原則所決定價格替代。
7. 股利年度及財報年/季資訊自民國106年4月12日起提供。"

"107年01月10日 個股日本益比、殖利率及股價淨值比"
"證券代號","證券名稱","殖利率(%)","股利年度","本益比","股價淨值比","財報年/季",
"2801","彰銀","5.40","105","13.22","1.12","106/3",
"2809","京城銀","3.69","105","8.48","1.27","106/3",
"2812","台中銀","7.16","105","9.14","0.78","106/3",
"2816","旺旺保","0.00","105","7.83","1.08","106/3",
"2820","華票","5.28","105","16.06","0.94","106/3",
"2823","中壽","5.57","105","14.45","1.34","106/3",
"2832","台產","4.31","105","9.21","0.90","106/3",
"2834","臺企銀","4.69","105","8.89","0.69","106/3",
"2836","高雄銀","6.38","105","13.82","0.67","106/3",
"2838","聯邦銀","4.80","105","9.29","0.66","106/3",
"2845","遠東銀","6.71","105","9.50","0.73","106/3",
"2849","安泰銀","4.53","105","11.23","0.71","106/3",
"2850","新產","5.20","105","8.11","0.99","106/3",
"2851","中再保","2.77","105","7.25","0.93","106/3",
"2852","第一保","4.45","105","8.07","0.78","106/3",
"2855","統一證","2.73","105","13.39","0.84","106/3",
"2856","元富證","1.15","105","45.79","0.64","106/3",
"2867","三商壽","5.30","105","10.19","0.79","106/3",
"2880","華南金","6.94","105","14.30","1.18","106/3",
"2881","富邦金","3.77","105","10.97","1.22","106/3",
"2882","國泰金","3.60","105","13.11","1.28","106/3",
"2883","開發金","4.69","105","14.79","0.95","106/3",
"2884","玉山金","6.28","105","14.31","1.37","106/3",
"2885","元大金","3.23","105","10.57","0.79","106/3",
"2886","兆豐金","5.60","105","12.80","1.16","106/3",
"2887","台新金","6.53","105","13.11","1.03","106/3",
"2888","新光金","1.84","105","7.98","0.79","106/3",
"2889","國票金","7.26","105","13.21","0.83","106/3",
"2890","永豐金","6.92","105","13.47","0.81","106/3",
"2891","中信金","4.61","105","11.86","1.44","106/3",
"2892","第一金","7.05","105","12.89","1.26","106/3",
"2897","王道銀行","5.02","105","17.25","0.74","106/3",
"5880","合庫金","6.05","105","14.22","1.06","106/3",
"6005","群益證","3.22","105","11.73","0.81","106/3",
"6024","群益期","4.87","105","10.56","1.62","106/3",
""
